HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
122,9,Saturday,GraphVideo,negative,15507,False,912,181349,127.10655737704919,1486.467213114754,7.475409836065574,1,0,2470992,0
123,8,Saturday,GraphVideo,neutral,1816,True,103,26047,14.764227642276422,211.7642276422764,0.8373983739837398,2,7,2470992,0
123,8,Saturday,GraphImage,neutral,24347,False,3024,0,197.9430894308943,0,24.585365853658537,4,0,2470992,0
124,8,Saturday,GraphVideo,positive,12438,False,3969,194945,100.30645161290323,1572.1370967741937,32.00806451612903,2,0,2470992,0
125,7,Saturday,GraphVideo,positive,4558,True,112,89081,36.464,712.648,0.896,0,3,2470992,0
125,6,Saturday,GraphImage,negative,8424,False,502,0,67.392,0,4.016,0,0,2470992,0
125,6,Saturday,GraphVideo,negative,23618,False,2972,261744,188.944,2093.952,23.776,3,0,2470992,0
126,5,Saturday,GraphSidecar,positive,12717,False,664,0,100.92857142857143,0,5.26984126984127,2,3,2470992,0
126,5,Saturday,GraphImage,neutral,10654,False,1618,0,84.55555555555556,0,12.841269841269842,0,0,2470992,0
127,4,Saturday,GraphImage,negative,11795,False,1374,0,92.8740157480315,0,10.818897637795276,3,0,2470992,0
133,22,Friday,GraphImage,neutral,1496,True,0,0,11.24812030075188,0,0.0,2,1,2470992,0
134,21,Friday,GraphVideo,neutral,2718,True,71,55781,20.28358208955224,416.2761194029851,0.5298507462686567,0,2,2470992,0
134,21,Friday,GraphVideo,negative,30282,False,2370,306103,225.98507462686567,2284.3507462686566,17.686567164179106,3,0,2470992,0
135,20,Friday,GraphImage,neutral,16250,False,881,0,120.37037037037037,0,6.525925925925926,1,0,2470992,0
136,19,Friday,GraphSidecar,neutral,9944,False,629,0,73.11764705882354,0,4.625,0,6,2470992,0
136,19,Friday,GraphSidecar,negative,24758,False,3258,0,182.0441176470588,0,23.955882352941178,1,0,2470992,0
136,19,Friday,GraphImage,neutral,25239,False,1890,0,185.5808823529412,0,13.897058823529411,0,0,2470992,0
137,18,Friday,GraphVideo,neutral,7894,False,199,92258,57.62043795620438,673.4160583941606,1.4525547445255473,2,2,2470992,0
138,17,Friday,GraphVideo,neutral,14999,False,445,192762,108.68840579710145,1396.8260869565217,3.2246376811594204,3,0,2470992,0
138,17,Friday,GraphImage,negative,21330,False,3309,0,154.56521739130434,0,23.97826086956522,3,0,2470992,0
139,16,Friday,GraphVideo,neutral,4057,False,194,87164,29.18705035971223,627.0791366906475,1.39568345323741,0,1,2470992,0
139,16,Friday,GraphVideo,neutral,54316,False,10227,475718,390.76258992805754,3422.431654676259,73.57553956834532,0,0,2470992,0
140,15,Friday,GraphImage,negative,8397,False,296,0,59.97857142857143,0,2.1142857142857143,1,0,2470992,0
141,14,Friday,GraphImage,positive,1780,True,65,0,12.624113475177305,0,0.46099290780141844,0,2,2470992,0
141,14,Friday,GraphImage,neutral,9465,False,817,0,67.12765957446808,0,5.794326241134752,2,0,2470992,0
141,14,Friday,GraphVideo,negative,26245,False,2932,291278,186.13475177304966,2065.801418439716,20.79432624113475,2,0,2470992,0
142,13,Friday,GraphVideo,neutral,2352,True,105,41385,16.56338028169014,291.443661971831,0.7394366197183099,0,4,2470992,0
142,13,Friday,GraphImage,neutral,24054,False,2545,0,169.3943661971831,0,17.922535211267604,1,0,2470992,0
143,12,Friday,GraphVideo,positive,22591,False,2915,210765,157.979020979021,1473.881118881119,20.384615384615383,1,0,2470992,0
144,12,Friday,GraphSidecar,neutral,2577,False,72,0,17.895833333333332,0,0.5,1,0,2470992,0
144,11,Friday,GraphImage,neutral,22223,False,2975,0,154.32638888888889,0,20.65972222222222,2,0,2470992,0
144,11,Friday,GraphImage,positive,30858,False,4433,0,214.29166666666666,0,30.78472222222222,2,0,2470992,0
145,10,Friday,GraphSidecar,positive,2719,False,105,0,18.751724137931035,0,0.7241379310344828,0,1,2470992,0
145,10,Friday,GraphImage,neutral,14289,False,706,0,98.54482758620689,0,4.86896551724138,0,0,2470992,0
146,9,Friday,GraphVideo,neutral,12717,False,639,177263,87.1027397260274,1214.1301369863013,4.376712328767123,1,0,2470992,0
146,9,Friday,GraphSidecar,positive,5306,False,107,0,36.342465753424655,0,0.7328767123287672,3,1,2470992,0
146,9,Friday,GraphImage,neutral,10970,False,925,0,75.13698630136986,0,6.335616438356165,1,0,2470992,0
147,9,Friday,GraphVideo,neutral,18665,False,891,166129,126.97278911564626,1130.1292517006802,6.061224489795919,1,0,2470992,0
147,8,Friday,GraphSidecar,neutral,16869,False,614,0,114.75510204081633,0,4.1768707482993195,0,2,2470992,0
148,8,Friday,GraphImage,neutral,54811,False,2864,0,370.3445945945946,0,19.35135135135135,3,0,2470992,0
148,7,Friday,GraphSidecar,neutral,7724,False,716,0,52.189189189189186,0,4.837837837837838,0,0,2470992,0
149,6,Friday,GraphSidecar,neutral,7455,True,319,0,50.033557046979865,0,2.140939597315436,0,2,2470992,0
149,6,Friday,GraphVideo,negative,18657,False,2694,262391,125.21476510067114,1761.013422818792,18.08053691275168,2,0,2470992,0
